County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Livingston County, MI,1,14,100,428,1557,111,11,184443
Montgomery County, TN,12,104,812,1171,3265,230,29,184119
Newport News city, VA,21,271,415,1038,4615,265,71,182020
El Dorado County, CA,3,57,358,983,1759,209,12,181737
Vanderburgh County, IN,8,199,298,1132,4544,422,76,181398
Ulster County, NY,1,38,209,731,2865,77,24,180998
Outagamie County, WI,1,31,225,419,2495,65,8,180345
Tippecanoe County, IN,1,87,394,1032,3725,275,16,180174
Minnehaha County, SD,2,60,391,863,3595,271,54,179640
Shasta County, CA,7,165,1029,1754,3623,903,35,178980
Shawnee County, KS,19,244,564,1585,5706,662,68,178831
Johnston County, NC,0,54,237,1508,2582,153,9,177967
Imperial County, CA,3,111,358,2037,3508,718,28,176584
Hays County, TX,4,37,267,799,2467,177,7,176026
Bay County, FL,9,168,623,1558,5538,295,20,174987
Medina County, OH,4,15,108,290,1365,22,1,174915
McLean County, IL,1,84,401,770,2793,89,25,174647
Hernando County, FL,2,71,396,1249,3213,166,7,174441
Pitt County, NC,11,207,442,1763,3982,188,4,174263
Beaufort County, SC,12,146,716,1299,3522,219,26,171838
Muskegon County, MI,4,192,590,1800,5164,305,61,171008
Boone County, MO,3,180,394,1023,4327,200,24,170773
Scott County, IA,4,156,546,1059,3489,313,21,170385
Beaver County, PA,6,84,417,632,3048,129,14,170115
Winnebago County, WI,0,24,269,675,2622,90,3,169541
Kent County, DE,4,161,693,1230,4743,213,196,169416
Sarpy County, NE,1,22,34,331,2046,210,12,169331
Sumner County, TN,2,41,423,674,2327,108,31,168888
Licking County, OH,0,66,384,1087,3618,151,55,168375
DeSoto County, MS,2,57,152,932,2498,141,11,168240
Kenosha County, WI,2,117,168,910,3288,148,21,167757
Carroll County, MD,3,47,237,690,1953,84,18,167564
Monroe County, PA,4,95,517,1202,3185,99,19,167148
Porter County, IN,5,19,133,561,2380,182,13,166557
Deschutes County, OR,0,43,292,821,3607,187,65,165954
Middlesex County, CT,2,37,76,316,1457,115,4,165562
Kent County, RI,3,38,127,693,2803,196,31,165035
Charlotte County, FL,1,37,337,910,2475,122,7,164736
Iredell County, NC,1,89,354,1650,3251,247,19,164517
Aiken County, SC,13,108,370,1618,4344,571,6,164176
Portage County, OH,0,48,71,872,2275,47,17,163862
Davidson County, NC,0,84,214,1361,2450,173,27,163420
Greene County, OH,3,63,73,829,3470,118,12,163204
Kenton County, KY,3,153,109,1110,2879,255,29,163145
Cass County, ND,1,54,345,620,2813,200,23,162829
Pueblo County, CO,8,199,581,1962,4931,518,43,161451
Santa Rosa County, FL,0,27,193,597,1549,100,7,161096
Rock County, WI,3,96,241,884,3738,149,22,160739
St. Clair County, MI,3,56,306,791,2382,137,30,160469
Wyandotte County, KS,16,286,554,1834,5085,1256,80,160384
Jackson County, MI,7,71,362,723,2280,159,44,160369
Maui County, HI,5,115,247,1067,4419,517,73,160202
Rensselaer County, NY,9,130,278,964,3032,135,9,159918
Hampshire County, MA,2,33,281,647,2432,81,22,159596
Chittenden County, VT,1,32,165,1013,3732,59,15,159515
Cumberland County, NJ,7,316,512,2033,4567,164,33,157332
Sullivan County, TN,3,70,777,1077,4129,299,37,156595
Ouachita Parish, LA,11,175,507,2149,5208,184,8,156220
Ellis County, TX,6,44,162,722,2616,152,18,155976
Centre County, PA,1,27,92,355,1800,42,26,155403
Schenectady County, NY,7,227,428,1059,3626,191,71,155333
Berrien County, MI,3,111,460,1188,3255,186,33,155252
Catawba County, NC,13,119,316,1555,4057,292,36,154810
Bibb County, GA,24,292,439,2395,6307,683,211,154721
Johnson County, TX,5,49,274,937,2584,196,22,154707
Alamance County, NC,4,138,497,1438,3530,250,14,154378
Yellowstone County, MT,3,73,328,975,4176,488,25,154162
Hendricks County, IN,0,20,121,222,1467,77,4,153879
Penobscot County, ME,8,61,51,912,3573,138,20,153364
Charles County, MD,6,154,383,615,2549,186,30,152864
Madera County, CA,2,139,758,1654,1715,648,11,152389
Stearns County, MN,6,58,164,442,3004,110,13,152092
Franklin County, PA,5,47,126,494,1927,79,16,152085
Midland County, TX,5,54,374,700,2728,216,9,151468
Tolland County, CT,0,8,34,164,559,51,6,151377
Martin County, FL,4,88,269,721,2369,133,11,151263
Kings County, CA,4,106,602,813,2222,405,34,150960
Lee County, AL,8,77,261,954,2942,128,9,150933
Monroe County, MI,5,93,234,1044,2599,231,35,150376
Washington County, MD,3,104,259,810,2044,214,43,149588
